Player,G,GS,PA,AB,H,1B,2B,3B,HR,SB,CS,BB,HBP,SH,SF,TBp,TBp / PA,,,
Juan Soto,47,47,196,154,54,27,14,0,13,6,2,41,1,0,0,153,0.780612245,,,
Freddie Freeman,60,58,262,214,73,36,23,1,13,2,0,45,3,0,0,187,0.713740458,,,
Ronald Acuna Jr.,46,46,202,160,40,15,11,0,14,8,1,38,4,0,0,142,0.702970297,,,
Marcell Ozuna,60,60,267,228,77,45,14,0,18,0,0,38,0,0,1,184,0.689138577,,,
Jose Ramirez,58,58,254,219,64,30,16,1,17,10,3,31,3,0,1,175,0.688976378,,,
Jared Walsh,32,24,108,99,29,14,4,2,9,0,0,5,1,0,3,73,0.675925926,,,
Mike Trout,53,53,241,199,56,28,9,2,17,1,1,35,3,0,4,162,0.67219917,,,
Bryce Harper,58,58,244,190,51,27,9,2,13,8,2,49,2,1,2,163,0.668032787,,,
Austin Slater,31,23,104,85,24,16,2,1,5,8,1,16,2,1,0,69,0.663461538,,,
Trea Turner,59,59,259,233,78,47,15,4,12,12,4,22,2,0,2,171,0.66023166,,,
Brandon Belt,51,41,179,149,46,23,13,1,9,0,0,30,0,0,0,118,0.659217877,,,
Dominic Smith,50,48,199,177,56,24,21,1,10,0,0,14,5,0,3,131,0.658291457,,,
Fernando Tatis Jr.,59,59,257,224,62,32,11,2,17,11,3,27,5,0,1,169,0.657587549,,,
Salvador Perez,37,37,156,150,50,27,12,0,11,1,0,3,2,0,1,102,0.653846154,,,
Will Smith,37,34,137,114,33,16,9,0,8,0,0,20,2,0,1,89,0.649635036,,,
Nelson Cruz,53,52,214,185,56,34,6,0,16,0,0,25,4,0,0,139,0.64953271,,,
José Abreu,60,60,262,240,76,42,15,0,19,0,0,18,3,0,1,170,0.648854962,,,
Wil Myers,55,55,218,198,57,26,14,2,15,2,1,18,2,0,0,141,0.646788991,,,
Luke Voit,56,55,234,213,59,32,5,0,22,0,0,17,3,0,1,151,0.645299145,,,
DJ LeMahieu,50,47,216,195,71,49,10,2,10,3,0,18,2,0,1,139,0.643518519,,,
Mookie Betts,55,53,246,219,64,38,9,1,16,10,2,24,2,0,1,158,0.642276423,,,
Manny Machado,60,60,254,224,68,39,12,1,16,6,3,26,0,0,4,163,0.641732283,,,
Mike Yastrzemski,54,52,225,192,57,29,14,4,10,2,1,30,3,0,0,143,0.635555556,,,
Jesse Winker,54,48,183,149,38,19,7,0,12,1,0,28,5,0,1,116,0.633879781,,,
Teoscar Hernandez,50,47,207,190,55,32,7,0,16,6,1,14,1,0,1,131,0.632850242,,,
Brandon Lowe,56,49,224,193,52,27,9,2,14,3,0,25,4,0,2,141,0.629464286,,,
Corey Seager,52,52,232,212,65,37,12,1,15,1,0,17,1,0,2,145,0.625,,,
Alex Dickerson,52,38,170,151,45,24,10,1,10,0,0,16,2,0,1,106,0.623529412,,,
Clint Frazier,39,39,160,131,35,20,6,1,8,3,0,25,3,0,1,99,0.61875,,,
Dylan Moore,38,36,159,137,35,18,9,0,8,12,5,14,8,0,0,97,0.610062893,,,
Trevor Story,59,59,259,235,68,40,13,4,11,15,3,24,0,0,0,158,0.61003861,,,
Kole Calhoun,54,53,228,190,43,18,9,0,16,1,1,28,6,0,4,138,0.605263158,,,
Anthony Santander,37,37,165,153,40,15,13,1,11,0,1,10,2,0,0,99,0.6,,,
Max Stassi,31,26,105,90,25,16,2,0,7,0,0,11,1,0,3,63,0.6,,,
Rhys Hoskins,41,41,185,151,37,18,9,0,10,1,0,29,5,0,0,111,0.6,,,
Byron Buxton,39,35,135,130,33,17,3,0,13,2,1,2,1,0,2,81,0.6,,,
Mitch Moreland,42,36,152,136,36,17,9,0,10,0,0,15,1,0,0,91,0.598684211,,,
AJ Pollock,55,47,210,196,54,29,9,0,16,2,2,12,0,0,2,125,0.595238095,,,
James McCann,31,27,111,97,28,18,3,0,7,1,1,8,4,0,2,66,0.594594595,,,
George Springer,51,49,222,189,50,28,6,2,14,1,2,24,5,0,2,132,0.594594595,,,
Anthony Rendon,52,52,232,189,54,33,11,1,9,0,0,38,5,0,0,137,0.590517241,,,
Robbie Grossman,51,45,192,166,40,18,12,2,8,8,1,21,5,0,0,113,0.588541667,,,
Aaron Judge,28,26,114,101,26,14,3,0,9,0,1,10,2,0,0,67,0.587719298,,,
Miguel Rojas,40,38,143,125,38,23,10,1,4,5,1,16,2,0,0,84,0.587412587,,,
Travis d'Arnaud,44,39,184,165,53,36,8,0,9,1,0,16,2,0,1,108,0.586956522,,,
Xander Bogaerts,56,53,225,203,61,42,8,0,11,8,0,21,0,0,1,132,0.586666667,,,
